window_start_idx,window_end_idx,start_time,end_time,predicted_class,class_name,confidence
1590,2102,1970-01-01 00:28:24.778800,1970-01-01 00:28:24.932100,-1,Unclassified,0.3723055422306061
1600,2112,1970-01-01 00:28:24.781800,1970-01-01 00:28:24.935100,-1,Unclassified,0.3987743556499481
1610,2122,1970-01-01 00:28:24.784800,1970-01-01 00:28:24.938100,-1,Unclassified,0.31831276416778564
1620,2132,1970-01-01 00:28:24.787800,1970-01-01 00:28:24.941100,-1,Unclassified,0.3593018054962158
1630,2142,1970-01-01 00:28:24.790800,1970-01-01 00:28:24.944100,-1,Unclassified,0.3298296630382538
1640,2152,1970-01-01 00:28:24.793800,1970-01-01 00:28:24.947100,-1,Unclassified,0.35808321833610535
1650,2162,1970-01-01 00:28:24.796800,1970-01-01 00:28:24.950100,-1,Unclassified,0.309578001499176
1660,2172,1970-01-01 00:28:24.799800,1970-01-01 00:28:24.953100,-1,Unclassified,0.3148074746131897
1670,2182,1970-01-01 00:28:24.802800,1970-01-01 00:28:24.956100,-1,Unclassified,0.3151141405105591
1680,2192,1970-01-01 00:28:24.805800,1970-01-01 00:28:24.959100,-1,Unclassified,0.33696767687797546
1690,2202,1970-01-01 00:28:24.808800,1970-01-01 00:28:24.962100,-1,Unclassified,0.31729555130004883
1700,2212,1970-01-01 00:28:24.811800,1970-01-01 00:28:24.965100,-1,Unclassified,0.2645852565765381
1710,2222,1970-01-01 00:28:24.814800,1970-01-01 00:28:24.968100,-1,Unclassified,0.2775024175643921
1720,2232,1970-01-01 00:28:24.817800,1970-01-01 00:28:24.971100,-1,Unclassified,0.348574697971344
1730,2242,1970-01-01 00:28:24.820800,1970-01-01 00:28:24.974100,-1,Unclassified,0.3951551616191864
1740,2252,1970-01-01 00:28:24.823800,1970-01-01 00:28:24.977100,-1,Unclassified,0.30844059586524963
1750,2262,1970-01-01 00:28:24.826800,1970-01-01 00:28:24.980100,-1,Unclassified,0.3470246195793152
1760,2272,1970-01-01 00:28:24.829800,1970-01-01 00:28:24.983100,-1,Unclassified,0.3458850085735321
1770,2282,1970-01-01 00:28:24.832800,1970-01-01 00:28:24.986100,-1,Unclassified,0.3441404104232788
1780,2292,1970-01-01 00:28:24.835800,1970-01-01 00:28:24.989100,-1,Unclassified,0.37749767303466797
1790,2302,1970-01-01 00:28:24.838800,1970-01-01 00:28:24.992100,-1,Unclassified,0.3510436415672302
1800,2312,1970-01-01 00:28:24.841800,1970-01-01 00:28:24.995100,-1,Unclassified,0.34445682168006897
1810,2322,1970-01-01 00:28:24.844800,1970-01-01 00:28:24.998100,-1,Unclassified,0.4365386664867401
1820,2332,1970-01-01 00:28:24.847800,1970-01-01 00:28:25.001100,-1,Unclassified,0.539133608341217
1830,2342,1970-01-01 00:28:24.850800,1970-01-01 00:28:25.004100,-1,Unclassified,0.5124461650848389
1840,2352,1970-01-01 00:28:24.853800,1970-01-01 00:28:25.007100,-1,Unclassified,0.5093371868133545
1850,2362,1970-01-01 00:28:24.856800,1970-01-01 00:28:25.010100,3,Bullish Normal,0.5963264107704163
1860,2372,1970-01-01 00:28:24.859800,1970-01-01 00:28:25.013100,-1,Unclassified,0.5252082347869873
1870,2382,1970-01-01 00:28:24.862800,1970-01-01 00:28:25.016100,3,Bullish Normal,0.5803009271621704
1880,2392,1970-01-01 00:28:24.865800,1970-01-01 00:28:25.019100,3,Bullish Normal,0.5969541072845459
1890,2402,1970-01-01 00:28:24.868800,1970-01-01 00:28:25.022100,-1,Unclassified,0.500830352306366
1900,2412,1970-01-01 00:28:24.871800,1970-01-01 00:28:25.025100,3,Bullish Normal,0.5673429369926453
1910,2422,1970-01-01 00:28:24.874800,1970-01-01 00:28:25.028100,3,Bullish Normal,0.5830703973770142
1920,2432,1970-01-01 00:28:24.877800,1970-01-01 00:28:25.031100,-1,Unclassified,0.4953148066997528
1930,2442,1970-01-01 00:28:24.880800,1970-01-01 00:28:25.034100,-1,Unclassified,0.459712415933609
1940,2452,1970-01-01 00:28:24.883800,1970-01-01 00:28:25.037100,-1,Unclassified,0.5165107846260071
1950,2462,1970-01-01 00:28:24.886800,1970-01-01 00:28:25.040100,-1,Unclassified,0.5444270372390747
1960,2472,1970-01-01 00:28:24.889800,1970-01-01 00:28:25.043100,-1,Unclassified,0.4847796559333801
1970,2482,1970-01-01 00:28:24.892800,1970-01-01 00:28:25.046100,-1,Unclassified,0.4560035169124603
1980,2492,1970-01-01 00:28:24.895800,1970-01-01 00:28:25.049100,3,Bullish Normal,0.550413966178894
1990,2502,1970-01-01 00:28:24.898800,1970-01-01 00:28:25.052100,-1,Unclassified,0.4650970697402954
2000,2512,1970-01-01 00:28:24.901800,1970-01-01 00:28:25.055100,-1,Unclassified,0.3780366778373718
2010,2522,1970-01-01 00:28:24.904800,1970-01-01 00:28:25.058100,-1,Unclassified,0.389517217874527
2020,2532,1970-01-01 00:28:24.907800,1970-01-01 00:28:25.061100,-1,Unclassified,0.3411009907722473
2030,2542,1970-01-01 00:28:24.910800,1970-01-01 00:28:25.064100,-1,Unclassified,0.2961803078651428
2040,2552,1970-01-01 00:28:24.913800,1970-01-01 00:28:25.067100,-1,Unclassified,0.37059491872787476
2050,2562,1970-01-01 00:28:24.916800,1970-01-01 00:28:25.070100,-1,Unclassified,0.5239972472190857
2060,2572,1970-01-01 00:28:24.919800,1970-01-01 00:28:25.073100,3,Bullish Normal,0.6306796073913574
2070,2582,1970-01-01 00:28:24.922800,1970-01-01 00:28:25.076100,-1,Unclassified,0.38880452513694763
2080,2592,1970-01-01 00:28:24.925800,1970-01-01 00:28:25.079100,-1,Unclassified,0.33485081791877747
2090,2602,1970-01-01 00:28:24.928800,1970-01-01 00:28:25.082100,-1,Unclassified,0.33321043848991394
2100,2612,1970-01-01 00:28:24.931800,1970-01-01 00:28:25.085100,-1,Unclassified,0.3599123954772949
2110,2622,1970-01-01 00:28:24.934800,1970-01-01 00:28:25.088100,-1,Unclassified,0.33343246579170227
2120,2632,1970-01-01 00:28:24.937800,1970-01-01 00:28:25.091100,-1,Unclassified,0.38837823271751404
2130,2642,1970-01-01 00:28:24.940800,1970-01-01 00:28:25.094100,-1,Unclassified,0.3358694314956665
2140,2652,1970-01-01 00:28:24.943800,1970-01-01 00:28:25.269900,-1,Unclassified,0.3784380555152893
2150,2662,1970-01-01 00:28:24.946800,1970-01-01 00:28:25.272900,-1,Unclassified,0.31370189785957336
2160,2672,1970-01-01 00:28:24.949800,1970-01-01 00:28:25.275900,-1,Unclassified,0.34071579575538635
2170,2682,1970-01-01 00:28:24.952800,1970-01-01 00:28:25.278900,-1,Unclassified,0.32180264592170715
2180,2692,1970-01-01 00:28:24.955800,1970-01-01 00:28:25.281900,-1,Unclassified,0.46798083186149597
2190,2702,1970-01-01 00:28:24.958800,1970-01-01 00:28:25.284900,-1,Unclassified,0.3463442027568817
2200,2712,1970-01-01 00:28:24.961800,1970-01-01 00:28:25.287900,-1,Unclassified,0.36873859167099
2210,2722,1970-01-01 00:28:24.964800,1970-01-01 00:28:25.290900,-1,Unclassified,0.44852155447006226
2220,2732,1970-01-01 00:28:24.967800,1970-01-01 00:28:25.293900,-1,Unclassified,0.3979482650756836
2230,2742,1970-01-01 00:28:24.970800,1970-01-01 00:28:25.296900,-1,Unclassified,0.35295766592025757
2240,2752,1970-01-01 00:28:24.973800,1970-01-01 00:28:25.299900,-1,Unclassified,0.3616752326488495
2250,2762,1970-01-01 00:28:24.976800,1970-01-01 00:28:25.302900,-1,Unclassified,0.3921125829219818
2260,2772,1970-01-01 00:28:24.979800,1970-01-01 00:28:25.305900,-1,Unclassified,0.26175493001937866
2270,2782,1970-01-01 00:28:24.982800,1970-01-01 00:28:25.308900,-1,Unclassified,0.3723008334636688
2280,2792,1970-01-01 00:28:24.985800,1970-01-01 00:28:25.311900,-1,Unclassified,0.30570200085639954
2290,2802,1970-01-01 00:28:24.988800,1970-01-01 00:28:25.314900,-1,Unclassified,0.33031582832336426
2300,2812,1970-01-01 00:28:24.991800,1970-01-01 00:28:25.317900,-1,Unclassified,0.4015049934387207
2310,2822,1970-01-01 00:28:24.994800,1970-01-01 00:28:25.320900,-1,Unclassified,0.3045782148838043
