timestamp,open,high,low,close
1705453200000,1.08775,1.0883,1.0872,1.08774
1705456800000,1.08775,1.0885,1.0872,1.08748
1705460400000,1.08748,1.0875,1.0863,1.08661
1705464000000,1.08663,1.0871,1.0863,1.08708
1705467600000,1.08707,1.08722,1.086,1.08647
1705471200000,1.08645,1.0866,1.0854,1.08617
1705474800000,1.08622,1.0874,1.0857,1.087
1705478400000,1.08698,1.08816,1.0865,1.08667
1705482000000,1.08664,1.0879,1.086,1.08768
1705485600000,1.08761,1.0884,1.0866,1.08717
1705489200000,1.08715,1.08832,1.0869,1.08783
1705492800000,1.08786,1.08812,1.0868,1.0875
1705496400000,1.08744,1.08786,1.085,1.08637
1705500000000,1.08638,1.08701,1.0846,1.08489
1705503600000,1.08495,1.0871,1.0844,1.08491
1705507200000,1.08491,1.08647,1.0846,1.08572
1705510800000,1.08573,1.087,1.0855,1.0867
1705514400000,1.08671,1.08674,1.0855,1.08656
1705518000000,1.08657,1.08788,1.0864,1.08739
1705521600000,1.08739,1.0882,1.0869,1.08809
1705525200000,1.0881,1.0885,1.0879,1.0882
1705528800000,1.0882,1.0886,1.08753,1.08808
1705532400000,1.08811,1.0886,1.088,1.0886
1705536000000,1.08859,1.0895,1.088,1.0894
1705539600000,1.08941,1.0902,1.0891,1.08961
1705543200000,1.0896,1.09028,1.0892,1.08933
1705546800000,1.0893,1.0899,1.0889,1.08954
1705550400000,1.08953,1.0897,1.089,1.0894
1705554000000,1.08941,1.08961,1.0889,1.08949
1705557600000,1.08949,1.0907,1.0893,1.09039
1705561200000,1.09036,1.09064,1.0885,1.08882
1705564800000,1.08881,1.0889,1.0876,1.088
1705568400000,1.08796,1.08995,1.0876,1.08842
1705572000000,1.08839,1.08961,1.0882,1.08951
1705575600000,1.0895,1.08954,1.0883,1.08891
1705579200000,1.08885,1.0894,1.0874,1.08774
1705582800000,1.08775,1.0878,1.0849,1.08524
1705586400000,1.08523,1.08691,1.08488,1.08595
1705590000000,1.08595,1.0869,1.0846,1.08521
1705593600000,1.0852,1.087,1.0849,1.08616
1705597200000,1.08618,1.0865,1.0849,1.08596
1705600800000,1.08597,1.0866,1.0853,1.08639
1705604400000,1.08638,1.08693,1.0859,1.08618
1705608000000,1.0861,1.08695,1.0859,1.08692
1705611600000,1.08691,1.0878,1.0867,1.0876
1705615200000,1.0876,1.088,1.08641,1.0873
1705618800000,1.08731,1.0882,1.0873,1.088
1705622400000,1.08796,1.0882,1.0877,1.08798
